Day,Sentiment_1,Positive_1,Negative_1,Sentiment_2,Positive_2,Negative_2,Sentiment_3,Positive_3,Negative_3
Sun,Stressed,0.67,0.72,Stressed,0.07,2.77,N.A,N.A,N.A
Mon,Stressed,0.62,1.13,Happy,2.69,1.49,Stressed,0.14,4.72
Tue,Stressed,0.36,0.75,Happy,0.35,0,Happy,5.07,1.17
Wed,Happy,2.98,0.22,Stressed,0.18,0.7,Happy,5.76,0.94
Thu,Happy,0.65,0,Happy,5.13,0.41,Stressed,0,4.31
Fri,Happy,3.29,0.1,Happy,3.02,0.8,Stressed,0.73,4.68
Sat,Stressed,0,1.33,Happy,2.45,0.18,Happy,5.72,1.02
Sun,Stressed,0.63,0.69,Stressed,0,0.56,Happy,5.77,0.86
Mon,Happy,0.27,0.13,Happy,2.74,0.96,Stressed,0.24,0.68
Tue,Happy,2.28,0,Happy,0.51,0.03,Happy,6.06,0
Wed,Happy,0.83,0,N.A,N.A,N.A,Stressed,0.58,3.78
