Day,Sentiment_1,Positive_1,Negative_1,Sentiment_2,Positive_2,Negative_2,Sentiment_3,Positive_3,Negative_3
Sun,Happy,3.04,0.39,Happy,3.06,1.16,N.A,N.A,N.A
Mon,Stressed,0.85,1,Happy,2.28,1.32,Stressed,0,2.73
Tue,N.A,N.A,N.A,Happy,0.26,0,Stressed,0,2.13
Wed,Happy,0.06,0,Stressed,0,0.84,Stressed,0.57,5.3
Thu,N.A,N.A,N.A,Happy,7.73,0,Stressed,0.4,4.45
Fri,Stressed,0.21,1,Happy,3.22,0,Stressed,0.42,3.24
Sat,Stressed,0,1.03,Happy,4.51,0,Happy,5.04,0.78
Sun,Happy,2.48,0,Stressed,0,0.66,Happy,5.53,0.74
Mon,Happy,0.16,0,Happy,3.07,0.96,Stressed,0,2.04
Tue,Happy,2.5,0.67,Happy,0.26,0.05,Stressed,0.09,4.02
Wed,Stressed,0.32,1,N.A,N.A,N.A,Stressed,0.25,0.57
