Day,Sentiment_1,Positive_1,Negative_1,Sentiment_2,Positive_2,Negative_2,Sentiment_3,Positive_3,Negative_3
Sun,Happy,0.830634,0.004016,Stressed,0.239768638,0.455365055,N.A,N.A,N.A
Mon,Stressed,0.43433,0.004509,Stressed,0.06021205,0.593600796,Stressed,2.91E-05,0.441517273
Tue,Happy,0.977337,0.004762,Stressed,0.107263734,0.615063302,Stressed,5.80E-06,0.067769779
Wed,Stressed,0.287476,0.407574,Happy,0.396868818,0.133440221,Stressed,0.001759318,0.719775936
Thu,Happy,0.672199,0.004892,Stressed,0.32879139,0.505267081,Stressed,7.29E-05,0.268537514
Fri,Happy,0.659033,0.006195,Stressed,0.14534386,0.585722405,Stressed,3.25E-05,0.063319371
Sat,Stressed,0.143872,0.168419,Stressed,0.162527189,0.658191208,Stressed,1.22E-06,0.045170391
Sun,Stressed,0.19176,0.437224,Stressed,0.359971982,0.452856801,Stressed,0.000134063,0.134690006
Mon,Stressed,0.036981,0.125703,Stressed,0.120303078,0.638795748,Stressed,0.000122721,0.041677063
Tue,Stressed,0.061012,0.501389,Stressed,0.047733676,0.758700147,Stressed,0.001937507,0.174152756
Wed,Stressed,0.001804,0.246779,N.A,N.A,N.A,Stressed,0.00203118,0.205688716
