Day,Sentiment_1,Positive_1,Negative_1,Sentiment_2,Positive_2,Negative_2,Sentiment_3,Positive_3,Negative_3
Sun,Happy,0.827084,0.005706,Happy,0.826828868,0.060431446,N.A,N.A,N.A
Mon,Happy,0.635512,0.006397,Stressed,0.06021205,0.593600796,Stressed,3.83E-05,0.429460856
Tue,Happy,0.87063,0.018488,Happy,0.718537364,0.076790412,Stressed,0.000290377,0.153829331
Wed,Happy,0.942888,0.004702,Stressed,0.28008603,0.181337853,Stressed,0.000780335,0.765620401
Thu,Happy,0.711007,0.113787,Stressed,0.029314702,0.131736545,Stressed,2.99E-06,0.111096935
Fri,N.A,N.A,N.A,Stressed,0.131144872,0.672310041,Stressed,0.037065703,0.253467492
Sat,Happy,0.794188,0.083002,Stressed,0.023859813,0.891184063,Stressed,0.0500931,0.757712212
Sun,Happy,0.57026,0.047052,Happy,0.777730301,0.104584051,Stressed,0.002012442,0.383249326
Mon,Happy,0.722683,0.083257,Stressed,0.394507225,0.520604891,Stressed,0.001004855,0.260299603
Tue,Happy,0.379804,0.15826,Stressed,0.250710973,0.501154709,Stressed,0.00569537,0.699081141
Wed,Happy,0.82799,0.010427,N.A,N.A,N.A,Stressed,6.75E-06,0.017137286
