Day,Sentiment_1,Positive_1,Negative_1,Sentiment_2,Positive_2,Negative_2,Sentiment_3,Positive_3,Negative_3
Sun,Happy,0.939141,0.00462,Stressed,0.295693944,0.15703959,N.A,N.A,N.A
Mon,Happy,0.384065,0.09536,Stressed,0.184181222,0.333916151,Stressed,0.00032268,0.434661623
Tue,N.A,N.A,N.A,Stressed,0.097051391,0.336260843,Stressed,0.000443649,0.44932101
Wed,Stressed,0.784684,0.155911,Stressed,0.131328313,0.404217917,Stressed,9.32E-06,0.05165822
Thu,N.A,N.A,N.A,Stressed,0.001874097,0.90069563,Stressed,0.000144209,0.036230482
Fri,Stressed,0.408462,0.136811,Stressed,0.005949942,0.91555022,Stressed,0.003032088,0.314759164
Sat,Happy,0.682772,0.170611,Happy,0.866319845,0.035101707,Stressed,0.001370945,0.105351882
Sun,Happy,0.562467,0.150745,Stressed,0.00018841,0.982688299,Stressed,0.001793671,0.108458825
Mon,Stressed,0.004157,0.747366,Stressed,0.070951367,0.849819297,Stressed,0.075333567,0.285495009
Tue,Stressed,0.033331,0.521898,Stressed,0.00535844,0.709009486,Stressed,0.00019452,0.047731307
Wed,Stressed,0.290699,0.308705,N.A,N.A,N.A,Stressed,1.92E-06,0.022196824
