Day,Time,Neutral,Happy,Sad,Angry,Fear
Sun,9,0.015063,0.827084,0.005706,0.004993,0.147155
Sun,15,0.037409,0.830634,0.004016,0.007119,0.120822
Sun,21,0.000613,0.939141,0.00462,0.055206,0.000421
Mon,9,0.010445,0.635512,0.006397,0.004363,0.343283
Mon,15,0.034519,0.43433,0.004509,0.001754,0.524888
Mon,21,0.161864,0.384065,0.09536,0.001446,0.357265
Tue,9,0.013109,0.87063,0.018488,0.006337,0.091435
Tue,15,0.005761,0.977337,0.004762,0.001301,0.010839
Wed,9,0.011918,0.942888,0.004702,0.002758,0.037735
Wed,15,0.290509,0.287476,0.407574,0.01379,0.000651
Wed,21,0.03949,0.784684,0.155911,0.019207,0.000707
Thu,9,0.155446,0.711007,0.113787,0.004242,0.015518
Thu,15,0.03879,0.672199,0.004892,0.002591,0.281528
Fri,15,0.003013,0.659033,0.006195,0.33172,0.00004
Fri,21,0.021327,0.408462,0.136811,0.433399,0.000001
Sat,9,0.082434,0.794188,0.083002,0.035363,0.005013
Sat,15,0.244735,0.143872,0.168419,0.442969,0.000005
Sat,21,0.091583,0.682772,0.170611,0.054735,0.0003
Sun,9,0.042627,0.57026,0.047052,0.340047,0.000014
Sun,15,0.321619,0.19176,0.437224,0.049131,0.000266
Sun,21,0.255892,0.562467,0.150745,0.029944,0.000952
Mon,9,0.145018,0.722683,0.083257,0.048664,0.000378
Mon,15,0.794746,0.036981,0.125703,0.001851,0.040719
Mon,21,0.247111,0.004157,0.747366,0.000347,0.001019
Tue,9,0.278439,0.379804,0.15826,0.182453,0.001044
Tue,15,0.382806,0.061012,0.501389,0.001991,0.052801
Tue,21,0.417556,0.033331,0.521898,0.000761,0.026453
Wed,9,0.073269,0.82799,0.010427,0.07033,0.017983
Wed,15,0.750095,0.001804,0.246779,0.000756,0.000565
Wed,21,0.37037,0.290699,0.308705,0.019267,0.010959
