Day,Time,Mood,Neutral,Happy,Sad,Angry,Fear,Max
Sun,9,Happy,0.012874693,0.826828868,0.060431446,0.005259023,0.094605969,0.826828868
Sun,15,Stressed,0.19669994,0.239768638,0.455365055,0.001094435,0.107071933,0.455365055
Sun,21,Stressed,0.423220092,0.295693944,0.15703959,0.00093266,0.123113715,0.423220092
Mon,9,Stressed,0.332797127,0.06021205,0.593600796,8.73E-05,0.01330274,0.593600796
Mon,15,Stressed,0.332797127,0.06021205,0.593600796,8.73E-05,0.01330274,0.593600796
Mon,21,Stressed,0.315349424,0.184181222,0.333916151,0.000882436,0.165670768,0.333916151
Tue,9,Happy,0.06767652,0.718537364,0.076790412,0.004018633,0.13297707,0.718537364
Tue,15,Stressed,0.253915224,0.107263734,0.615063302,0.000194691,0.023563049,0.615063302
Tue,21,Stressed,0.510110167,0.097051391,0.336260843,0.000331009,0.05624659,0.510110167
Wed,9,Stressed,0.30293908,0.28008603,0.181337853,0.001045105,0.234591933,0.30293908
Wed,15,Happy,0.366467517,0.396868818,0.133440221,0.002717054,0.100506391,0.396868818
Wed,21,Stressed,0.448919837,0.131328313,0.404217917,0.000641962,0.014891971,0.448919837
Thu,9,Stressed,0.826376179,0.029314702,0.131736545,9.38E-05,0.012478786,0.826376179
Thu,15,Stressed,0.055813632,0.32879139,0.505267081,0.00313043,0.106997468,0.505267081
Thu,21,Stressed,0.095596656,0.001874097,0.90069563,3.19E-06,0.001830427,0.90069563
Fri,9,Stressed,0.157387169,0.131144872,0.672310041,0.000420118,0.0387378,0.672310041
Fri,15,Stressed,0.176184319,0.14534386,0.585722405,0.000650586,0.09209883,0.585722405
Fri,21,Stressed,0.072852921,0.005949942,0.91555022,3.49E-05,0.005611984,0.91555022
Sat,9,Stressed,0.064087394,0.023859813,0.891184063,7.44E-05,0.020794298,0.891184063
Sat,15,Stressed,0.156459756,0.162527189,0.658191208,0.000482803,0.022339043,0.658191208
Sat,21,Happy,0.077630968,0.866319845,0.035101707,0.01145122,0.009496261,0.866319845
Sun,9,Happy,0.022674134,0.777730301,0.104584051,0.005213053,0.08979846,0.777730301
Sun,15,Stressed,0.066727807,0.359971982,0.452856801,0.002271972,0.118171438,0.452856801
Sun,21,Stressed,0.013628058,0.00018841,0.982688299,1.41E-05,0.003481151,0.982688299
Mon,9,Stressed,0.072301441,0.394507225,0.520604891,0.006435191,0.006151252,0.520604891
Mon,15,Stressed,0.229863023,0.120303078,0.638795748,0.000540029,0.010498122,0.638795748
Mon,21,Stressed,0.048193013,0.070951367,0.849819297,0.000361638,0.030674685,0.849819297
Tue,9,Stressed,0.117000619,0.250710973,0.501154709,0.001018691,0.130115007,0.501154709
Tue,15,Stressed,0.190913014,0.047733676,0.758700147,0.000309759,0.002343403,0.758700147
Tue,21,Stressed,0.283185418,0.00535844,0.709009486,0.000343074,0.002103582,0.709009486
