Sr. No.,Neutral,Happy,Sad,Angry,Fear
1,0.037409,0.830634,0.004016,0.007119,0.120822
2,0.000613,0.939141,0.004620,0.055206,0.000421
3,0.010445,0.635512,0.006397,0.004363,0.343283
4,0.015063,0.827084,0.005706,0.004993,0.147155
5,0.034519,0.434330,0.004509,0.001754,0.524888
6,0.161864,0.384065,0.095360,0.001446,0.357265
7,0.013109,0.870630,0.018488,0.006337,0.091435
8,0.005761,0.977337,0.004762,0.001301,0.010839
9,0.011918,0.942888,0.004702,0.002758,0.037735
10,0.290509,0.287476,0.407574,0.013790,0.000651
11,0.039490,0.784684,0.155911,0.019207,0.000707
12,0.155446,0.711007,0.113787,0.004242,0.015518
13,0.038790,0.672199,0.004892,0.002591,0.281528
14,0.003013,0.659033,0.006195,0.331720,0.000040
15,0.021327,0.408462,0.136811,0.433399,0.000001
16,0.082434,0.794188,0.083002,0.035363,0.005013
17,0.244735,0.143872,0.168419,0.442969,0.000005
18,0.091583,0.682772,0.170611,0.054735,0.000300
19,0.042627,0.570260,0.047052,0.340047,0.000014
20,0.321619,0.191760,0.437224,0.049131,0.000266
21,0.255892,0.562467,0.150745,0.029944,0.000952
22,0.145018,0.722683,0.083257,0.048664,0.000378
23,0.794746,0.036981,0.125703,0.001851,0.040719
24,0.247111,0.004157,0.747366,0.000347,0.001019
25,0.278439,0.379804,0.158260,0.182453,0.001044
26,0.382806,0.061012,0.501389,0.001991,0.052801
27,0.417556,0.033331,0.521898,0.000761,0.026453
28,0.073269,0.827990,0.010427,0.070330,0.017983
29,0.750095,0.001804,0.246779,0.000756,0.000565
30,0.370370,0.290699,0.308705,0.019267,0.010959
