ID,Day,Time,Fc_Sentiment,Fc_Happy,Fc_Stressed,Sp_Sentiment,Sp_Happy,Sp_Stressed,Tr_Sentiment,Tr_Happy,Tr_Stressed
1,Sun,Morning,Stressed,0,1.38,Happy,0.827084,0.005706,Happy,0.618,0.035
2,Mon,Morning,Happy,0.42,0,Happy,0.635512,0.006397,neutral,0.34,0.132
3,Tue,Morning,Stressed,0.13,2.19,Happy,0.87063,0.018488,Stressed,0.011,0.74
4,Wed,Morning,Happy,2.32,0.81,Happy,0.942888,0.004702,Stressed,0.007,0.783
5,Thu,Morning,Stressed,0,1,Happy,0.711007,0.113787,Stressed,0.108,0.588
6,Fri,Morning,N.A,0,0,0,0,0,0,0,0
7,Sat,Morning,Stressed,0.81,1,Happy,0.794188,0.083002,Stressed,0.015,0.644
8,Sun,Morning,Stressed,0,0.27,Happy,0.57026,0.047052,Stressed,0.003,0.93
9,Mon,Morning,Stressed,0,0,Happy,0.722683,0.083257,Stressed,0.003,0.892
10,Tue,Morning,Happy,3.36,0,Happy,0.379804,0.15826,Happy,0.604,0.051
11,Wed,Morning,Happy,0.56,0,Happy,0.82799,0.010427,neutral,0.256,0.143
1,Sun,Afternoon,Stressed,0.67,0.72,Happy,0.830634,0.004016,Happy,0.639,0.04
2,Mon,Afternoon,Stressed,0.62,1.13,Stressed,0.43433,0.004509,Stressed,0.003,0.768
3,Tue,Afternoon,Stressed,0.36,0.75,Happy,0.977337,0.004762,Happy,0.481,0.089
4,Wed,Afternoon,Happy,2.98,0.22,Stressed,0.287476,0.407574,Stressed,0.046,0.711
5,Thu,Afternoon,Happy,0.65,0,Happy,0.672199,0.004892,Stressed,0.017,0.718
6,Fri,Afternoon,Happy,3.29,0.1,Happy,0.659033,0.006195,Stressed,0.017,0.718
7,Sat,Afternoon,Stressed,0,1.33,Stressed,0.143872,0.168419,Stressed,0.01,0.827
8,Sun,Afternoon,Stressed,0.63,0.69,Stressed,0.19176,0.437224,neutral,0.047,0.413
9,Mon,Afternoon,Happy,0.27,0.13,Stressed,0.036981,0.125703,Happy,0.756,0.025
10,Tue,Afternoon,Happy,2.28,0,Stressed,0.061012,0.501389,Stressed,0.07,0.667
11,Wed,Afternoon,Happy,0.83,0,Stressed,0.001804,0.246779,Stressed,0.03,0.832
1,Sun,Night,Happy,3.04,0.39,Happy,0.939141,0.00462,neutral,0.174,0.073
2,Mon,Night,Stressed,0.85,1,Happy,0.384065,0.09536,Happy,0.767,0.021
3,Tue,Night,N.A,0,0,0,0,0,0,0,0
4,Wed,Night,Happy,0.06,0,Stressed,0.784684,0.155911,neutral,0.432,0.049
5,Thu,Night,N.A,0,0,0,0,0,0,0,0
6,Fri,Night,Stressed,0.21,1,Stressed,0.408462,0.136811,neutral,0.047,0.298
7,Sat,Night,Stressed,0,1.03,Happy,0.682772,0.170611,Happy,0.499,0.061
8,Sun,Night,Happy,2.48,0,Happy,0.562467,0.150745,Stressed,0.031,0.529
9,Mon,Night,Happy,0.16,0,Stressed,0.004157,0.747366,Stressed,0.009,0.919
10,Tue,Night,Happy,2.5,0.67,Stressed,0.033331,0.521898,Stressed,0.015,0.778
11,Wed,Night,Stressed,0.32,1,Stressed,0.290699,0.308705,Stressed,0.05,0.518
